customer_name,district_name,total_amount
Eleanor Hunt,Saint-Denis,211.55
Karl Seal,Florida,208.58
Marion Snyder,So Paulo,194.61
Rhonda Kennedy,Gelderland,191.62
Clara Shaw,Minsk,189.6
Tommy Collazo,Esfahan,183.63
Ana Bradley,Tennessee,167.67
Curtis Irby,Ontario,167.62
Marcia Dean,Southern Tagalog,166.61
Mike Way,Tamil Nadu,162.67
Wesley Bull,Galicia,158.65
Gordon Allard,Hodeida,157.69
Lena Jensen,West Bengali,154.7
Tim Cary,Karnataka,154.66
Warren Sherrod,Irkutsk,152.69
Steve Mackenzie,East Java,152.68
Brittany Riley,Sumy,151.73
Guy Brownlee,Zhejiang,151.69
June Carroll,Skikda,151.68
Neil Renner,Khanh Hoa,149.69
Tammy Sanders,Changhwa,149.61
Tonya Chapman,Rajasthan,147.71
Michelle Clark,Dhaka,146.68
Jessica Hall,,146.68
Jacqueline Long,Songkhla,146.68
Stacey Montgomery,Jilin,146.67
Arthur Simpkins,Adygea,145.7
Brandon Huey,Balikesir,145.64
Diane Collins,Khartum,144.7
Ralph Madrigal,Arecibo,144.68
Roger Quintanilla,Taipei,144.66
Alex Gresham,Michoacn de Ocampo,143.68
Ryan Salisbury,Daugavpils,142.7
Shawn Heaton,Nakhon Sawan,142.69
Margie Wade,Hunan,142.67
Marsha Douglas,Sofala,142.66
Debra Nelson,Esprito Santo,141.71
Lori Wood,Uttar Pradesh,141.69
Nicholas Barfield,Par,140.69
Roy Whiting,Central,139.72
Sherry Marshall,al-Qalyubiya,139.69
Janice Ward,Skne ln,139.67
Tanya Gilbert,Chollanam,138.69
Angela Hernandez,Yamaguchi,138.65
Wanda Patterson,Sucre,137.72
Marilyn Ross,Oyo & Osun,137.7
Alexander Fennell,Lombardia,137.67
Jimmie Eggleston,Dolnoslaskie,135.72
Ramon Choate,Chimborazo,135.7
Morris Mccarter,Kaohsiung,135.68
Kent Arsenault,Minas Gerais,134.73
Alvin Deloach,Chihuahua,134.72
Zachary Hite,Ohio,134.71
Ella Oliver,Aden,134.7
Sylvia Ortiz,Risaralda,134.7
Rosemary Schmidt,Usak,134.69
Helen Harris,Madhya Pradesh,134.68
Elizabeth Brown,Nantou,134.65
Stanley Scroggins,Saitama,133.71
Bernice Willis,Batman,133.7
Sue Peters,Jiangsu,133.68
Jennie Terry,Severn Morava,132.72
Jessie Milam,Shandong,132.7
Russell Brinson,Slaskie,132.65
Greg Robins,Nam Ha,131.74
Karen Jackson,Osmaniye,131.73
Ethel Webb,Gauteng,131.69
Catherine Campbell,Moscow (City),131.69
Linda Williams,Attika,130.76
Priscilla Lowe,Guanajuato,130.72
Maria Miller,Central Serbia,130.72
Casey Mena,Tokat,130.68
Harold Martino,Roraima,130.68
Rosa Reynolds,California,129.72
Jordan Archuleta,Buenos Aires,129.71
Crystal Ford,Ha Darom,129.7
Regina Berry,Gansu,129.68
Roberto Vu,Ningxia,128.73
Gladys Hamilton,Kwara & Kogi,128.71
Glenda Frazier,Hebei,128.71
Sara Perry,Puebla,128.7
Alma Austin,Baden-Wrttemberg,128.69
Bessie Morrison,Sisilia,127.73
Miguel Betancourt,Baijeri,127.73
Debbie Reyes,Hiroshima,127.69
Martha Gonzalez,Chisinau,127.66
Jeanne Lawson,Ahal,126.74
Troy Quigley,British Colombia,126.73
Terri Vasquez,Santa Catarina,126.73
Jamie Rice,Michigan,126.73
Tracy Cole,Mxico,126.72
Grace Ellis,Nordrhein-Westfalen,126.7
Bradley Motley,Jharkhand,125.74
Maurice Crawley,Veracruz,125.74
Daisy Bates,Pietari,125.72
Janet Phillips,Antofagasta,124.74
Elsie Kelley,Ondo & Ekiti,124.68
John Farnsworth,Maharashtra,123.74
Leslie Seward,Kalimantan Barat,123.72
Shirley Allen,Southern Mindanao,123.7
Eddie Tomlin,Northern Mindanao,122.74
Tina Simmons,Gois,122.74
Javier Elrod,Chari-Baguirmi,122.72
Cathy Spencer,Gifu,122.71
Viola Hanson,Central Visayas,122.7
Jorge Olivares,Aceh,122.69
Milton Howland,Andhra Pradesh,121.77
Gilbert Sledge,England,121.73
Lynn Payne,Lilongwe,121.73
Barry Lovelace,Copperbelt,121.7
Jim Rea,Sinaloa,121.7
Nathan Runyon,St Thomas,121.69
Rick Mattox,al-Daqahliya,120.75
Alfred Casillas,Sawhaj,120.74
Dana Hart,Kirov,120.74
Marc Outlaw,Apulia,120.71
Thelma Murray,Lima,120.7
Alan Kahn,Sichuan,119.75
Hector Poindexter,Stavropol,119.74
Gertrude Castillo,Kitaa,119.72
Charles Kowalski,Kedah,119.72
Kathryn Coleman,Krim,118.76
Tracy Herrmann,Loja,118.75
Stephanie Mitchell,Yerevan,118.75
Jaime Nettles,Huanuco,118.73
Virginia Green,Midi-Pyrnes,118.7
Joy George,Botosani,118.69
Miriam Mckinney,Shiga,117.77
Nathaniel Adam,Illinois,117.75
Byron Box,Qaraghandy,117.72
Joyce Edwards,Mekka,116.76
Valerie Black,Massachusetts,116.75
Terry Carlson,Miyazaki,116.74
Naomi Jennings,Haryana,116.73
Hilda Hopkins,National Capital Reg,116.73
Kathy James,Eastern Visayas,116.72
Gloria Cook,Tahiti,115.74
Philip Causey,Moskova,115.71
Veronica Stone,North Carolina,115.7
Dianne Shelton,East Azerbaidzan,114.76
Salvador Teel,Banjul,114.73
Patsy Davidson,Manab,114.73
Mary Smith,Nagasaki,114.7
Don Bone,Nampula,113.77
Michael Silverman,Liaoning,113.74
Nora Herrera,Salzburg,113.74
Amber Dixon,Ynlin,113.73
Jeffery Pinson,Sind,113.72
Christy Vargas,Shanxi,113.7
Andy Vanhorn,Hidalgo,112.76
Tyrone Asher,Ruse,112.76
Ashley Richardson,Nebraska,112.75
Monica Hicks,Taka-Karpatia,112.73
Clyde Tobias,Guangdong,112.72
Calvin Martel,Zulia,111.77
Daryl Larue,Ninawa,111.73
Audrey Ray,Steiermark,111.73
Carolyn Perez,Nonthaburi,111.71
Terrance Roush,Fejr,111.71
Jamie Waugh,Mie,110.77
Myrtle Fleming,Santiago,110.76
Andre Rapp,Coquimbo,110.74
Gina Williamson,Taizz,110.73
Everett Banda,al-Sharqiya,110.72
Heidi Larson,Hubei,110.68
Fernando Churchill,Kang-won,109.77
Isaac Oglesby,Morelos,109.76
Charlene Alvarez,Zanzibar West,109.75
Clifford Bowens,Tatarstan,109.73
Randy Gaither,Kurgan,109.73
Todd Tan,Hmelnytskyi,109.72
Herman Devore,Mwanza,109.72
Sonia Gregory,Edo & Delta,108.78
Eduardo Hiatt,Inner Mongolia,108.77
Seth Hannon,al-Manama,108.76
Gabriel Harder,Sivas,108.75
Raymond Mcwhorter,Sumqayit,108.75
Julian Vest,Tokyo-to,108.73
Minnie Romero,West Java,108.72
Mae Fletcher,Baskimaa,107.79
Johnnie Chisholm,Mazowieckie,107.78
Mario Cheatham,Batna,107.73
Darlene Rose,Pyongyang-si,107.71
Jeff East,Puerto Plata,107.7
Lois Butler,Brunei and Muara,107.66
Douglas Graf,Baja California,106.77
Marlene Welch,Fukushima,106.77
Gail Knight,Bern,106.76
Claudia Fuller,Hawalli,106.75
Victoria Gibson,Central Java,106.74
Sarah Lewis,Liepaja,106.73
Eric Robert,Santa F,105.78
Sam Mcduffie,Boyac,105.78
Elaine Stevens,Smolensk,105.78
Katie Elliott,Nyanza,105.77
Bryan Hardison,Texas,105.76
Jean Bell,Sarawak,105.76
Amanda Carter,Oriental,105.74
Diana Alexander,Georgia,105.73
Marcus Hidalgo,Tartumaa,105.72
Cynthia Young,Bihar,105.7
Brent Harkins,Istanbul,104.78
Violet Rodriquez,Kowloon and New Kowl,104.76
Dolores Wagner,Perak,104.75
Dale Ratcliff,North West,104.74
